año,kilometraje,cilindraje,marca,combustible,tipo_transmision,traccion,uso,zona,falla_frenos,falla_motor,falla_llantas,falla_direccion,falla_suspension,falla_luces,falla_espejos,resultado
2007,287927,1500,Chevrolet,gasolina,automatica,4x2,particular,urbano,0,0,1,0,0,0,1,0
2000,450000,1400,Renault,gasolina,manual,4x4,particular,rural,1,0,1,1,1,1,1,1
2015,122589,1800,Toyota,gas,manual,4x2,particular,urbano,0,1,0,0,0,1,0,0
2000,311087,1400,Nissan,gasolina,manual,4x2,particular,urbano,0,0,1,1,1,0,1,0
2009,182093,1600,Fiat,gas,manual,4x4,particular,urbano,0,1,0,0,1,1,0,0
2020,74781,1400,Renault,gasolina,automatica,4x4,particular,urbano,0,0,1,1,0,0,0,1
1998,389215,2400,Volkswagen,gasolina,automatica,4x2,particular,rural,1,1,0,1,0,0,0,1
1998,450000,1500,Mazda,gasolina,automatica,4x2,publico,urbano,1,0,0,0,0,0,1,1
2004,287380,2000,Mazda,gasolina,automatica,4x2,particular,urbano,0,0,0,0,1,0,1,0
2008,450000,1600,Volkswagen,diesel,automatica,4x2,publico,urbano,1,0,1,1,1,1,1,1
2013,161557,2000,Hyundai,gasolina,manual,4x2,particular,rural,0,0,0,1,0,1,1,1
2001,450000,1600,Hyundai,gasolina,manual,4x4,publico,urbano,1,1,1,1,0,1,1,1
2020,71549,1500,Chevrolet,gasolina,manual,4x2,particular,rural,0,0,0,1,0,0,0,1
2014,220637,2000,Toyota,gasolina,manual,4x2,particular,rural,0,1,0,0,1,1,0,0
2020,49032,1500,Kia,gasolina,automatica,4x2,particular,urbano,0,0,0,0,0,0,0,0
2020,50210,1500,Renault,gas,manual,4x2,particular,rural,0,0,1,0,0,0,0,1
2008,169499,1000,Chevrolet,gasolina,automatica,4x2,particular,urbano,1,0,0,1,1,0,0,1
2019,85795,1400,Renault,gasolina,manual,4x2,particular,urbano,0,0,1,0,0,0,1,0
2023,18282,3500,Mitsubishi,diesel,manual,4x2,particular,urbano,0,0,0,0,0,0,0,0
2014,143811,1000,Chevrolet,gasolina,automatica,4x4,particular,rural,0,1,0,1,1,0,0,0
2013,236141,1600,Mazda,diesel,manual,4x2,particular,rural,0,1,1,1,1,0,0,0
2015,170354,1500,Hyundai,gasolina,automatica,4x2,particular,urbano,0,1,1,0,0,1,1,1
2008,351917,1600,Fiat,diesel,manual,4x2,particular,urbano,0,1,1,1,0,1,1,1
2001,450000,1500,Toyota,gas,manual,4x4,particular,urbano,1,0,0,1,1,1,0,1
1999,326019,1200,Renault,diesel,manual,4x2,publico,urbano,1,1,1,1,1,0,0,1
2006,192911,1800,Hyundai,gasolina,automatica,4x2,particular,urbano,0,0,1,1,1,0,1,1
2003,448052,2400,Nissan,gasolina,manual,4x2,publico,urbano,0,1,0,1,1,1,1,1
2002,450000,1200,Kia,gasolina,automatica,4x4,publico,rural,1,0,1,1,1,1,1,1
2022,37912,1500,Kia,diesel,manual,4x2,particular,urbano,0,0,0,0,0,0,0,0
2013,348565,1400,Toyota,gasolina,automatica,4x2,publico,urbano,0,0,1,1,1,0,0,0
2004,382980,1400,Mazda,gasolina,manual,4x2,particular,urbano,1,0,1,1,0,1,0,0
2011,230913,1600,Toyota,gasolina,manual,4x2,particular,urbano,1,1,1,1,0,0,1,1
2008,187107,1600,Chevrolet,gasolina,automatica,4x2,particular,urbano,1,0,1,1,0,0,1,1
2008,170303,1400,Renault,gas,manual,4x2,particular,urbano,0,1,0,0,0,1,0,1
2001,450000,1200,Kia,gasolina,automatica,4x4,publico,urbano,0,0,1,0,1,0,1,1
2003,180327,1200,Renault,gasolina,automatica,4x2,particular,rural,0,1,0,1,1,1,0,1
2015,113882,1800,Ford,gasolina,manual,4x4,particular,rural,1,1,1,1,1,0,0,1
2002,413936,1000,Kia,diesel,automatica,4x2,particular,urbano,1,1,1,0,1,1,1,1
1998,450000,1400,Mazda,gasolina,manual,4x2,particular,rural,1,1,1,0,1,1,0,1
2015,260108,1200,Kia,gasolina,automatica,4x2,publico,urbano,1,1,0,0,1,0,0,1
2000,450000,1600,Chevrolet,gasolina,manual,4x2,publico,urbano,1,0,1,1,1,1,0,1
2003,364395,1200,Kia,gas,automatica,4x2,particular,urbano,1,0,1,0,1,0,1,1
2002,240153,1600,Volkswagen,gasolina,manual,4x2,particular,rural,1,0,1,1,1,1,1,1
2009,129325,1600,Renault,gasolina,manual,4x4,particular,rural,0,1,0,1,1,1,0,0
2005,450000,1000,Chevrolet,gasolina,automatica,4x2,publico,rural,0,1,1,1,1,0,1,0
2018,104343,1000,Kia,gasolina,manual,4x4,particular,rural,1,0,0,0,0,1,0,1
2018,77274,2400,Volkswagen,diesel,automatica,4x2,particular,rural,0,0,0,0,0,0,0,0
2000,402656,1500,Chevrolet,gasolina,manual,4x2,particular,urbano,1,1,1,0,1,1,1,1
2001,319978,1000,Renault,gas,manual,4x2,particular,urbano,1,0,1,1,1,1,0,1
1999,417722,2400,Hyundai,diesel,manual,4x2,particular,rural,1,0,1,1,1,1,0,0
2017,96171,2000,Ford,gasolina,automatica,4x2,particular,urbano,0,1,0,0,0,0,0,0
2005,342196,1400,Chevrolet,gasolina,automatica,4x4,particular,urbano,0,0,1,1,0,0,1,1
2009,236195,1200,Renault,gasolina,manual,4x4,publico,urbano,1,1,1,1,1,1,0,1
2006,316937,1000,Renault,diesel,automatica,4x4,particular,rural,0,1,1,0,1,0,1,0
2008,366186,2000,Toyota,gasolina,automatica,4x2,publico,urbano,1,1,1,1,0,1,1,1
2017,157899,1600,Toyota,gas,manual,4x2,publico,rural,1,0,1,0,1,1,0,1
2019,154424,1600,Ford,gas,automatica,4x2,publico,urbano,0,1,0,1,0,0,0,1
2011,259573,1500,Renault,gasolina,manual,4x2,publico,urbano,1,0,1,0,1,0,0,1
2009,323167,1500,Hyundai,gasolina,manual,4x2,publico,rural,1,1,0,0,1,0,1,1
2022,15617,1400,Mazda,gasolina,manual,4x4,particular,urbano,0,0,0,0,0,1,0,0
2000,418235,1500,Chevrolet,gasolina,automatica,4x2,particular,urbano,1,0,1,1,0,1,0,0
2016,162169,1200,Chevrolet,diesel,automatica,4x2,publico,urbano,0,0,0,1,0,0,0,0
2011,226750,1000,Renault,gasolina,automatica,4x2,particular,urbano,1,1,0,0,0,0,0,0
2022,16177,1000,Renault,gasolina,automatica,4x2,particular,urbano,0,0,0,0,0,0,0,1
2003,450000,2000,Mazda,diesel,automatica,4x4,publico,rural,1,1,0,1,1,1,1,1
2008,271358,1200,Chevrolet,gasolina,manual,4x2,particular,rural,1,1,0,0,1,0,0,1
1998,450000,1600,Hyundai,gasolina,manual,4x2,particular,urbano,0,1,1,1,0,1,1,1
2008,309088,1800,Volkswagen,gas,manual,4x2,publico,urbano,1,1,1,0,0,1,0,1
2017,112575,2000,Mitsubishi,diesel,manual,4x2,particular,urbano,1,1,0,0,0,0,1,1
2006,333634,1000,Chevrolet,gasolina,automatica,4x2,particular,urbano,1,0,0,1,1,1,1,1
2011,234421,1200,Chevrolet,gasolina,automatica,4x2,particular,rural,0,1,1,1,1,1,0,1
2023,14299,1600,Mazda,diesel,manual,4x4,particular,urbano,1,0,0,0,0,0,0,0
2007,410900,1400,Mazda,gasolina,automatica,4x2,publico,urbano,1,1,1,0,1,0,1,1
2011,126633,2400,Honda,gasolina,automatica,4x2,particular,urbano,1,1,0,1,0,0,1,0
2018,224178,1200,Chevrolet,gasolina,manual,4x2,publico,rural,1,1,1,1,1,1,0,1
2015,245928,1000,Chevrolet,gasolina,manual,4x4,publico,urbano,1,1,0,1,0,0,1,1
2016,123041,1400,Suzuki,diesel,manual,4x2,particular,rural,0,1,1,0,0,1,0,0
2013,179383,1400,Chevrolet,gasolina,manual,4x2,particular,rural,1,0,0,1,1,0,0,1
2000,450000,1500,Ford,gas,manual,4x2,particular,urbano,1,0,1,1,1,1,1,1
2018,92765,1400,Renault,gasolina,automatica,4x2,particular,urbano,0,0,0,0,1,1,1,1
2012,240434,2400,Hyundai,diesel,automatica,4x2,particular,urbano,1,1,1,1,1,0,1,1
2009,114785,1500,Mazda,gasolina,automatica,4x2,particular,urbano,0,0,0,1,0,0,0,0
2011,122925,1500,Hyundai,gas,manual,4x4,particular,rural,1,1,1,0,0,1,0,1
2016,123416,1500,Hyundai,gasolina,automatica,4x2,particular,urbano,0,0,0,0,0,0,0,0
2020,71064,2400,Dodge,diesel,automatica,4x4,publico,rural,0,0,0,1,1,0,0,0
2018,101152,1800,Toyota,gasolina,manual,4x2,publico,urbano,1,1,0,0,0,0,1,1
2005,450000,1000,Renault,gasolina,manual,4x4,publico,urbano,0,1,1,0,0,0,1,1
2005,390699,2500,Dodge,gasolina,manual,4x4,particular,rural,1,0,0,1,1,1,0,1
2009,181217,2400,Ford,gasolina,manual,4x2,particular,urbano,0,0,0,0,0,1,0,1
2014,324332,1200,Renault,gas,automatica,4x2,publico,urbano,0,1,1,1,1,1,0,1
2014,250031,1500,Chevrolet,gasolina,automatica,4x2,particular,urbano,0,0,1,0,1,0,0,0
2020,87297,1200,Fiat,gasolina,manual,4x4,publico,urbano,0,1,1,0,1,0,1,1
2013,289520,1400,Toyota,gasolina,manual,4x2,publico,urbano,1,0,0,0,0,0,1,0
2018,78515,2000,Toyota,gasolina,manual,4x2,particular,urbano,1,0,0,1,0,1,1,0
2009,223049,1400,Suzuki,gasolina,manual,4x4,particular,rural,0,0,1,1,0,1,1,1
2000,450000,1500,Renault,diesel,manual,4x2,publico,urbano,1,1,1,1,1,1,1,1
2015,187194,1800,Toyota,gasolina,automatica,4x4,particular,urbano,1,0,1,0,0,0,0,1
2007,324906,2400,Nissan,gasolina,manual,4x2,particular,urbano,1,1,0,1,1,0,1,1
2015,171657,1200,Kia,gasolina,manual,4x2,particular,rural,0,0,0,1,0,0,0,0
1998,354743,2000,Mazda,gasolina,automatica,4x2,particular,urbano,0,1,1,1,1,1,1,1
2004,374568,1400,Ford,diesel,manual,4x4,particular,urbano,1,1,0,0,0,0,1,0
2020,56014,1500,Renault,gasolina,automatica,4x2,particular,urbano,0,0,0,0,1,0,0,1
2008,195899,1600,Chevrolet,gasolina,manual,4x2,particular,urbano,1,1,1,0,1,1,0,1
2007,222301,1800,Toyota,gasolina,manual,4x2,particular,urbano,1,1,0,0,1,1,1,1
2003,267341,1200,Suzuki,gasolina,automatica,4x2,particular,urbano,1,0,0,0,0,1,0,1
2022,57065,1800,Hyundai,gasolina,automatica,4x2,publico,urbano,0,0,0,1,0,0,0,0
2009,241229,1600,Chevrolet,gasolina,manual,4x2,particular,urbano,0,0,0,0,0,0,0,0
2022,25795,1500,Kia,gasolina,manual,4x2,particular,urbano,0,1,0,0,0,0,0,0
1999,450000,1600,Chevrolet,gasolina,manual,4x2,particular,urbano,1,1,1,0,1,1,0,1
2015,94764,1600,Renault,gas,manual,4x2,particular,urbano,0,0,0,0,0,0,0,0
2017,44646,1000,Kia,gasolina,manual,4x2,particular,urbano,1,0,1,0,1,0,0,1
2007,314215,1200,Chevrolet,diesel,automatica,4x2,particular,urbano,0,1,0,0,1,0,0,1
2007,239690,1500,Hyundai,gasolina,manual,4x4,particular,urbano,1,1,0,1,1,1,1,0
2022,58852,2400,Honda,gasolina,manual,4x2,publico,urbano,1,0,0,0,0,0,1,0
2022,60055,3500,Dodge,gas,manual,4x2,publico,rural,0,1,0,0,0,0,0,1
2008,266409,1000,Chevrolet,diesel,manual,4x4,particular,rural,1,0,1,1,1,1,1,1
2000,336281,2000,Mazda,gas,manual,4x2,particular,urbano,0,1,0,0,1,1,1,1
2018,55225,1500,Hyundai,gasolina,manual,4x2,particular,urbano,0,0,0,0,1,0,0,0
2001,450000,2400,Hyundai,diesel,manual,4x2,publico,urbano,1,1,1,0,0,0,1,1
2014,183921,1200,Renault,gasolina,manual,4x2,particular,rural,0,0,0,0,0,1,1,0
2020,54920,1600,Hyundai,gasolina,manual,4x2,particular,urbano,0,0,1,1,0,0,0,0
2015,141470,1200,Renault,gasolina,manual,4x4,particular,urbano,1,0,1,1,1,0,1,1
2013,230118,1500,Hyundai,gasolina,automatica,4x2,publico,rural,0,0,0,1,1,0,0,0
2015,172939,1500,Nissan,gasolina,automatica,4x2,particular,urbano,1,0,1,0,1,0,0,1
2007,267712,1500,Chevrolet,gasolina,automatica,4x2,particular,urbano,1,1,0,0,1,0,1,1
2013,272575,1500,Chevrolet,gasolina,manual,4x4,particular,rural,0,0,0,0,1,1,1,0
1999,414876,1400,Renault,gasolina,manual,4x4,particular,rural,0,1,1,0,1,1,1,1
2023,36234,1600,Hyundai,gasolina,manual,4x4,publico,urbano,0,0,0,0,0,0,0,0
2004,278350,1800,Nissan,gasolina,manual,4x2,particular,urbano,1,0,0,1,0,0,1,1
2021,34054,1600,Chevrolet,diesel,manual,4x2,particular,rural,0,0,1,1,1,0,0,1
2013,138184,1600,Honda,gasolina,manual,4x2,particular,rural,1,0,0,1,0,1,0,1
2005,273708,1500,Mazda,gasolina,manual,4x2,particular,urbano,1,1,0,0,1,0,0,1
2023,34819,1500,Renault,gasolina,automatica,4x2,publico,urbano,0,0,0,0,1,0,0,1
2016,161717,1500,Hyundai,gasolina,manual,4x4,particular,rural,1,0,1,1,1,0,1,0
2001,271297,2000,Hyundai,diesel,automatica,4x2,particular,rural,0,1,1,1,1,0,0,1
2009,172129,1200,Chevrolet,gasolina,manual,4x4,particular,urbano,0,1,1,1,0,1,1,1
2015,100185,1200,Kia,diesel,automatica,4x2,particular,rural,0,1,0,0,1,0,0,0
2019,150250,1000,Kia,gasolina,manual,4x2,publico,rural,1,1,0,1,0,0,1,1
2023,19817,1800,Dodge,gasolina,manual,4x2,publico,urbano,0,0,0,0,0,0,0,0
2011,374385,1500,Toyota,diesel,automatica,4x4,publico,urbano,0,0,0,1,1,0,0,0
2007,141699,3000,Mitsubishi,diesel,manual,4x2,particular,rural,0,1,0,1,1,1,0,1
2004,332635,2000,Hyundai,gasolina,manual,4x2,particular,urbano,1,1,0,1,1,1,1,1
1998,450000,1600,Hyundai,gasolina,manual,4x2,particular,rural,1,1,1,1,1,1,0,1
2015,193825,1200,Chevrolet,diesel,automatica,4x2,particular,rural,1,0,1,0,0,0,0,1
2006,290967,1500,Renault,diesel,manual,4x2,particular,rural,1,1,0,1,0,1,0,1
2010,373372,1500,Nissan,gasolina,automatica,4x2,publico,urbano,1,0,1,1,0,0,1,1
2000,369963,1400,Nissan,gasolina,manual,4x2,particular,urbano,1,1,1,0,1,1,1,1
2004,363284,2400,Mazda,gasolina,automatica,4x2,publico,urbano,0,0,1,0,1,0,1,0
2019,69157,1800,Hyundai,gasolina,manual,4x4,particular,urbano,0,1,1,1,0,1,0,0
2002,191110,1500,Volkswagen,gasolina,manual,4x2,particular,rural,1,1,0,0,1,1,1,1
2021,71811,1400,Honda,gasolina,manual,4x2,publico,rural,0,0,0,1,0,1,1,1
2012,267418,1000,Renault,gas,automatica,4x2,publico,urbano,1,1,1,0,0,1,0,1
2010,202537,1500,Kia,gasolina,automatica,4x2,particular,urbano,1,0,1,1,1,1,0,1
2017,93364,1500,Volkswagen,gasolina,manual,4x4,particular,urbano,0,0,0,0,1,0,1,0
2006,244610,1600,Toyota,gasolina,automatica,4x2,particular,rural,1,1,1,1,0,1,0,1
2001,278657,3000,Dodge,gas,manual,4x2,particular,urbano,1,1,1,1,0,1,1,1
2017,185736,2000,Hyundai,gas,manual,4x2,publico,urbano,1,0,0,1,0,0,0,1
1998,450000,1500,Hyundai,diesel,manual,4x2,publico,urbano,1,0,0,1,1,1,0,1
2013,228158,1500,Mazda,diesel,automatica,4x2,particular,urbano,1,1,0,1,0,1,0,1
2007,178498,1200,Chevrolet,gasolina,manual,4x2,particular,rural,0,1,0,0,0,1,1,0
2009,247583,1600,Ford,gasolina,manual,4x4,particular,urbano,0,0,0,0,0,1,0,1
2008,318244,2400,Mazda,gasolina,automatica,4x4,publico,rural,0,1,1,1,0,0,1,0
2017,136663,1400,Renault,gasolina,manual,4x2,particular,urbano,0,0,1,0,1,0,0,1
2011,166192,2400,Volkswagen,gasolina,automatica,4x2,particular,urbano,1,0,0,0,1,0,1,0
2016,149621,2000,Nissan,gasolina,automatica,4x4,particular,urbano,0,0,1,1,1,1,1,1
2015,220417,2400,Nissan,diesel,automatica,4x2,publico,urbano,0,0,1,1,1,1,0,1
1998,324325,1500,Chevrolet,gasolina,manual,4x2,particular,rural,1,0,1,1,0,1,0,0
2018,160617,3000,Peugeot,gasolina,automatica,4x2,publico,urbano,1,0,0,0,0,0,1,1
2023,9493,1400,Hyundai,gas,manual,4x2,particular,rural,0,0,0,0,0,0,0,1
2009,146410,2400,Volkswagen,diesel,automatica,4x4,particular,urbano,1,0,1,1,0,1,1,1
2014,107747,1500,Renault,gasolina,manual,4x4,particular,rural,0,1,0,0,0,0,0,1
2017,96665,1500,Hyundai,gasolina,automatica,4x2,particular,urbano,0,0,0,0,1,1,0,0
2022,34252,1000,Suzuki,gasolina,manual,4x2,particular,urbano,0,0,0,0,1,0,0,0
2011,170052,1400,Kia,gasolina,manual,4x2,particular,urbano,0,1,1,0,1,1,1,1
2021,55613,1400,Toyota,gasolina,manual,4x2,particular,urbano,0,0,0,0,0,0,1,0
2015,262633,1600,Toyota,gasolina,automatica,4x4,publico,rural,1,1,0,1,1,1,1,1
2003,294805,1000,Chevrolet,gasolina,manual,4x2,particular,rural,1,1,1,0,1,0,1,1
2016,89316,1200,Renault,gasolina,automatica,4x2,particular,rural,0,0,0,0,0,0,1,1
2001,346860,1200,Chevrolet,gasolina,automatica,4x2,particular,rural,0,0,1,1,1,1,1,1
2004,450000,1500,Chevrolet,diesel,manual,4x4,publico,urbano,0,1,0,0,0,1,1,0
2003,299253,1600,Volkswagen,gasolina,automatica,4x2,particular,urbano,1,1,0,0,0,1,0,1
2002,285080,2400,Mitsubishi,gasolina,manual,4x2,particular,urbano,1,1,1,1,1,0,1,1
2018,193143,1000,Chevrolet,gasolina,manual,4x4,publico,rural,1,0,1,1,0,0,0,1
2019,87390,1000,Chevrolet,gasolina,manual,4x2,particular,rural,0,0,1,0,1,0,0,1
2004,253683,1600,Hyundai,gasolina,manual,4x2,particular,urbano,0,1,1,1,1,1,1,1
2005,303838,1500,Honda,gasolina,automatica,4x2,particular,rural,0,1,0,0,1,0,0,0
2021,44719,1500,Chevrolet,gasolina,manual,4x4,particular,rural,0,0,0,0,0,0,0,0
2007,394054,1400,Renault,gas,manual,4x2,particular,urbano,1,1,0,1,1,1,0,1
2016,117882,1600,Nissan,gasolina,automatica,4x2,particular,urbano,0,0,1,0,0,0,0,0
2007,333045,1000,Suzuki,gas,manual,4x2,particular,rural,1,0,1,1,0,1,0,1
2012,207375,1000,Renault,gasolina,manual,4x2,particular,rural,1,0,1,1,1,1,0,1
2010,270061,1000,Renault,diesel,manual,4x4,particular,urbano,1,0,0,1,1,1,0,1
2008,361707,1000,Renault,gasolina,manual,4x2,particular,rural,0,1,0,1,0,1,1,1
2002,366960,1600,Toyota,gasolina,automatica,4x2,particular,urbano,1,1,1,1,1,1,1,1
2010,203181,1400,Renault,gasolina,manual,4x4,particular,urbano,1,1,1,0,1,1,1,1
2016,179589,1500,Mazda,gasolina,automatica,4x4,particular,rural,0,0,0,1,1,1,1,1
2001,350249,3000,Mitsubishi,gasolina,manual,4x2,particular,urbano,1,1,1,0,1,1,0,1
2007,353748,2000,Volkswagen,gasolina,automatica,4x2,publico,rural,1,0,0,1,1,1,1,1
2023,17851,1200,Renault,gasolina,manual,4x4,particular,urbano,1,0,0,0,0,0,0,1
2017,73208,1500,Hyundai,gasolina,manual,4x4,particular,urbano,0,0,0,0,0,0,0,0
2023,21914,2400,Mazda,gasolina,manual,4x2,publico,urbano,0,0,0,0,0,0,0,0
1999,196455,1400,Hyundai,gasolina,manual,4x2,particular,urbano,1,0,1,1,0,1,1,1
2009,253355,1800,Ford,gasolina,manual,4x2,particular,urbano,0,1,0,1,1,1,0,1
2001,328214,1000,Chevrolet,gasolina,automatica,4x2,particular,urbano,1,0,0,1,1,1,1,1
2013,150382,1600,Hyundai,gas,manual,4x2,publico,rural,0,1,0,1,1,0,1,0
2011,180127,1000,Chevrolet,diesel,manual,4x4,particular,rural,1,1,1,1,1,0,0,1
2014,121206,1400,Nissan,gasolina,automatica,4x2,particular,rural,1,1,0,1,0,1,0,1
2022,27605,1400,Ford,gasolina,automatica,4x2,particular,rural,0,0,0,0,0,0,0,0
2007,403533,2000,Toyota,gasolina,manual,4x4,publico,rural,0,1,1,1,0,0,1,1
2004,406735,1400,Chevrolet,gasolina,automatica,4x2,particular,urbano,0,0,0,1,1,1,0,0
2008,96457,1200,Renault,gasolina,automatica,4x2,particular,urbano,0,0,0,0,1,0,0,1
2008,450000,1400,Honda,gasolina,manual,4x2,publico,urbano,1,0,0,1,0,1,1,1
2015,139825,1800,Dodge,gasolina,manual,4x2,particular,urbano,1,1,1,0,0,0,1,1
2011,222731,1800,Honda,gasolina,automatica,4x4,publico,rural,1,1,0,1,1,1,0,1
2022,32387,1600,Toyota,gasolina,manual,4x2,particular,rural,0,0,0,1,1,0,0,0
2015,151377,1200,Renault,gas,manual,4x2,particular,urbano,0,1,1,0,0,0,1,1
2006,200261,1800,Dodge,gasolina,automatica,4x2,particular,rural,0,0,1,0,1,1,1,0
2016,120951,1600,Fiat,gasolina,manual,4x4,particular,urbano,0,1,0,0,1,1,1,1
2014,114217,1600,Nissan,gasolina,manual,4x2,particular,urbano,0,0,1,1,0,0,1,1
1999,434030,2000,Nissan,gas,manual,4x4,particular,urbano,1,1,1,1,1,1,1,1
2016,125488,1400,Nissan,diesel,manual,4x2,particular,urbano,1,1,0,0,0,0,0,1
2007,285394,1500,Chevrolet,diesel,automatica,4x2,particular,urbano,1,0,1,0,1,1,0,0
2010,412626,1600,Fiat,gasolina,manual,4x2,publico,urbano,0,1,0,1,0,1,1,1
2014,174548,1200,Kia,gas,automatica,4x4,particular,urbano,0,1,0,1,0,1,1,1
2013,147019,1800,Volkswagen,gas,automatica,4x2,particular,urbano,0,0,0,0,1,1,0,0
2020,73799,2500,Mitsubishi,gasolina,manual,4x4,particular,urbano,0,0,0,0,1,0,0,0
2023,17195,1600,Hyundai,gasolina,manual,4x2,particular,urbano,1,0,0,0,0,0,0,0
2019,61524,1800,Ford,gasolina,manual,4x2,particular,rural,0,1,0,0,1,0,0,1
2012,202898,1400,Volkswagen,gasolina,manual,4x2,particular,rural,1,0,0,0,0,0,0,0
2016,136317,1200,Renault,gas,automatica,4x4,particular,rural,0,0,0,1,0,0,0,1
2014,162968,1800,Hyundai,gas,manual,4x4,particular,urbano,1,1,0,0,0,0,1,0
1998,367282,1500,Chevrolet,gasolina,automatica,4x4,particular,urbano,0,1,0,0,1,1,1,1
2000,450000,2000,Toyota,diesel,manual,4x2,publico,urbano,0,0,1,1,1,1,1,1
2013,146418,1800,Nissan,gasolina,automatica,4x2,particular,rural,1,1,1,1,1,0,1,1
2008,357449,1000,Renault,gasolina,manual,4x4,particular,urbano,0,1,0,0,1,0,0,0
2022,21589,1500,Chevrolet,gasolina,manual,4x2,particular,rural,0,0,0,0,0,0,1,0
2001,242865,1500,Chevrolet,gasolina,manual,4x4,particular,urbano,1,1,1,1,0,1,0,1
2009,373994,2500,Mitsubishi,gasolina,manual,4x2,publico,rural,1,1,1,1,0,1,0,1
2016,100094,1500,Mazda,diesel,manual,4x4,particular,rural,1,0,1,0,1,1,0,1
2009,285773,1600,Nissan,gasolina,automatica,4x2,particular,urbano,1,0,0,0,0,0,1,1
2023,18294,1400,Renault,gasolina,manual,4x2,particular,urbano,0,0,0,0,0,0,0,0
2004,179213,1200,Renault,gasolina,automatica,4x4,particular,urbano,1,0,1,0,1,1,1,0
2017,76880,2000,Ford,diesel,manual,4x2,particular,rural,0,0,0,1,0,1,0,0
1999,450000,1000,Kia,gasolina,manual,4x2,publico,urbano,1,1,1,1,1,1,1,0
2010,261818,1800,Nissan,gas,automatica,4x2,particular,rural,0,1,1,0,1,0,1,1
2017,128199,1000,Suzuki,gasolina,manual,4x2,particular,urbano,0,0,0,1,1,0,1,1
2006,450000,1500,Volkswagen,gas,manual,4x2,publico,urbano,1,1,1,1,1,1,0,1
2011,191100,1200,Renault,gas,automatica,4x2,particular,rural,0,1,0,0,1,1,1,0
2018,102482,1600,Nissan,gas,automatica,4x2,particular,urbano,0,0,0,0,0,1,0,0
2016,176953,1600,Toyota,gasolina,automatica,4x2,publico,rural,0,0,0,0,0,1,1,1
2008,450000,1200,Renault,gasolina,automatica,4x4,publico,rural,1,0,0,0,1,1,0,1
2016,68940,1200,Renault,gasolina,manual,4x2,particular,urbano,0,1,0,1,1,0,0,0
2005,327296,1500,Volkswagen,gasolina,manual,4x2,particular,urbano,0,1,0,1,1,1,1,1
2011,205607,2400,Ford,gasolina,manual,4x2,particular,urbano,1,0,0,1,1,0,1,1
2009,450000,1400,Nissan,gasolina,manual,4x2,publico,urbano,1,1,1,1,1,1,1,1
2023,26910,2000,Hyundai,gasolina,manual,4x2,publico,urbano,0,0,0,0,0,0,1,0
2007,160074,1500,Renault,gasolina,manual,4x2,particular,rural,1,1,1,1,1,0,1,1
2007,310411,2000,Honda,gasolina,manual,4x2,particular,rural,0,0,1,1,1,1,0,1
2003,428559,1400,Kia,gasolina,automatica,4x2,publico,rural,1,0,1,1,1,0,1,1
2019,81025,1500,Renault,gasolina,manual,4x2,publico,urbano,0,1,0,0,1,0,0,1
2011,240495,1200,Suzuki,diesel,manual,4x2,particular,urbano,1,0,0,0,0,1,1,1
2008,132995,1500,Suzuki,gasolina,manual,4x2,particular,urbano,0,1,0,1,1,0,0,1
2007,287176,1200,Chevrolet,gasolina,manual,4x2,particular,urbano,0,0,0,1,1,1,1,0
2021,37353,1500,Chevrolet,diesel,automatica,4x2,particular,urbano,0,0,0,0,0,1,1,0
2023,14409,2000,Ford,gasolina,automatica,4x2,particular,urbano,1,0,1,0,0,0,0,1
2008,450000,1200,Chevrolet,diesel,automatica,4x2,publico,rural,1,1,0,0,1,0,0,1
2015,191251,1400,Chevrolet,diesel,automatica,4x2,particular,urbano,0,1,0,0,0,0,0,1
2011,162265,3000,Dodge,gasolina,automatica,4x2,particular,rural,1,0,0,1,0,0,0,0
2020,62303,1400,Suzuki,diesel,automatica,4x4,particular,rural,0,0,0,1,1,0,0,0
1999,450000,1800,Volkswagen,gasolina,automatica,4x2,particular,rural,1,1,1,1,1,0,1,1
2010,432499,1600,Toyota,diesel,manual,4x2,publico,urbano,1,0,1,0,1,0,0,0
2007,184340,1200,Renault,diesel,manual,4x4,particular,urbano,1,1,0,0,0,1,0,0
2010,269837,2400,Hyundai,gas,automatica,4x4,publico,rural,1,1,1,1,1,1,0,1
2005,327777,2400,Peugeot,gasolina,manual,4x2,particular,urbano,0,1,1,0,0,0,1,1
2012,202003,1400,Renault,gasolina,automatica,4x4,particular,rural,0,0,1,0,1,0,1,1
2005,450000,2400,Hyundai,gasolina,manual,4x2,publico,urbano,0,1,1,0,0,1,1,1
1999,450000,1200,Fiat,gasolina,automatica,4x2,publico,rural,1,1,0,1,1,0,1,1
2006,205003,2000,Nissan,gasolina,manual,4x2,particular,rural,1,1,0,1,1,0,1,0
2020,78573,2000,Ford,gasolina,automatica,4x2,publico,urbano,0,1,0,0,0,0,0,0
2008,304262,2400,Ford,gasolina,automatica,4x2,particular,urbano,1,0,1,1,0,1,1,1
2012,237891,1000,Chevrolet,gasolina,automatica,4x2,publico,urbano,0,1,0,0,1,0,1,0
2015,141888,1200,Chevrolet,diesel,manual,4x4,particular,urbano,1,0,0,0,0,0,0,0
2021,41239,1000,Fiat,gasolina,manual,4x2,particular,rural,0,0,0,0,1,0,0,0
