placa,tipo_vehiculo,marca,modelo,año,kilometraje,combustible,fecha_ultima_revision,tiempo_desde_revision,falla
CML434,carro,Renault,Civic,2018,80310,gasolina,2023-03-10,38,0
HSC313,moto,Honda,TTX,2015,53860,gasolina,2023-09-30,31,1
HJO157,moto,Yamaha,CB190,2016,46576,gasolina,2022-07-27,45,0
PKB741,carro,Toyota,Civic,2023,56555,gasolina,2022-01-31,51,0
IIY436,carro,Chevrolet,Mustang,2009,64405,gasolina,2023-06-04,35,0
DWV853,carro,Renault,Mustang,2007,78757,eléctrico,2023-11-08,30,1
IEM540,carro,Chevrolet,Tucson,2009,41046,gasolina,2022-11-01,42,1
GIW939,camioneta,Nissan,Frontier,2016,109272,diésel,2022-11-16,42,0
JVF014,carro,Honda,Spark,2019,101319,eléctrico,2024-08-13,20,0
JLW792,moto,Suzuki,FZ25,2010,51250,gasolina,2021-07-05,58,1
RNF608,carro,Ford,Corolla,2012,98521,gasolina,2022-11-20,41,0
OMT448,carro,Chevrolet,Logan,2021,49328,gasolina,2022-03-05,50,0
NSD329,bus,Scania,K410,2020,103002,diésel,2021-01-04,64,1
DLY852,carro,Toyota,Spark,2012,92556,gas natural,2021-03-20,62,0
XAC972,carro,Renault,Sportage,2024,55391,diésel,2022-07-22,45,0
PSM428,moto,Bajaj,CB190,2013,48106,gasolina,2021-11-18,54,0
LDD487,moto,Yamaha,Pulsar,2014,71872,gasolina,2023-03-17,38,0
CES721,carro,Honda,Logan,2011,87293,gasolina,2021-01-11,64,1
OXF647,moto,Bajaj,TTX,2016,35784,gasolina,2025-02-14,14,0
BHG925,carro,Kia,Sportage,2005,54554,gasolina,2023-04-29,36,0
JRO944,carro,Renault,Logan,2010,47312,gasolina,2022-02-10,51,1
QEV563,moto,AKT,TTX,2019,65944,gasolina,2025-01-01,16,0
SMT988,camioneta,Nissan,Ranger,2020,12927,gasolina,2021-09-07,56,1
RQI262,carro,Toyota,Civic,2005,73728,gasolina,2023-12-06,29,0
RPI116,carro,Renault,Logan,2021,122048,gasolina,2025-06-28,10,0
FAO107,camioneta,Nissan,L200,2011,69775,diésel,2021-05-27,59,0
EEJ266,carro,Ford,Tucson,2005,77957,diésel,2022-08-25,44,1
GFC228,camioneta,Mitsubishi,L200,2020,99373,gasolina,2021-12-29,52,1
TEU427,moto,AKT,CB190,2012,51599,gasolina,2025-05-28,11,0
CTS156,carro,Honda,CX-5,2007,130876,eléctrico,2023-02-15,39,1
SCM294,camioneta,Mitsubishi,Hilux,2008,92839,gasolina,2022-01-05,52,0
IBE852,camioneta,Ford,Hilux,2008,69977,diésel,2024-04-14,24,0
FCQ072,moto,Suzuki,FZ25,2018,27131,gasolina,2023-03-30,37,1
ABA485,carro,Toyota,Civic,2016,148679,gasolina,2025-03-14,13,1
RBK106,moto,Honda,FZ25,2019,79600,gasolina,2025-01-24,15,0
EXN153,moto,Bajaj,GS150,2016,48573,gasolina,2024-01-04,28,0
GFX698,carro,Honda,Mustang,2011,101726,gasolina,2024-10-08,18,0
JUT430,carro,Hyundai,CX-5,2021,58143,gasolina,2022-10-31,42,1
VWG855,carro,Mazda,CX-5,2009,115665,gasolina,2022-04-02,49,0
WSR715,carro,Kia,Civic,2018,71365,gasolina,2021-09-15,56,0
RPV603,carro,Hyundai,Corolla,2008,50502,gasolina,2024-09-21,19,0
JDQ972,carro,Toyota,Civic,2014,88919,gasolina,2024-01-23,27,0
UQT370,carro,Honda,Sportage,2018,69577,gasolina,2023-03-25,37,1
UXI114,bus,Volvo,K410,2010,213138,diésel,2022-12-20,40,1
AWO540,carro,Chevrolet,Civic,2005,79079,gasolina,2024-04-07,25,1
HAZ672,camioneta,Mitsubishi,Frontier,2010,124204,diésel,2021-03-22,62,1
YAY119,moto,Yamaha,TTX,2021,42621,gasolina,2024-11-09,17,0
RTM702,carro,Renault,Tucson,2005,145785,gas natural,2022-09-03,44,1
MXY569,carro,Ford,CX-5,2016,106345,gasolina,2025-02-05,14,0
HQQ005,carro,Kia,Spark,2013,68524,diésel,2023-03-11,38,1
YLR579,camioneta,Toyota,L200,2022,131469,diésel,2021-01-28,63,0
MHW444,moto,Suzuki,FZ25,2016,28440,gasolina,2021-09-28,55,1
FID774,moto,Honda,FZ25,2016,39969,gasolina,2023-04-27,36,1
BNI144,carro,Kia,Mustang,2016,44955,gasolina,2022-08-30,44,0
UCI466,camioneta,Toyota,Hilux,2012,69207,diésel,2024-09-16,19,0
NUC420,carro,Honda,Corolla,2013,85198,gasolina,2023-05-27,35,0
BIX998,carro,Kia,Sportage,2020,30812,gasolina,2021-06-11,59,0
XGL610,carro,Ford,Tucson,2011,85037,gasolina,2021-07-19,58,0
YCD025,camioneta,Toyota,L200,2014,94949,gasolina,2022-09-17,44,1
QFE682,camioneta,Ford,Hilux,2009,112078,gasolina,2025-05-08,11,1
UUU513,carro,Renault,Corolla,2019,105211,eléctrico,2024-11-07,17,0
NXF875,carro,Chevrolet,Spark,2024,115400,eléctrico,2021-07-26,57,0
BIA638,camioneta,Toyota,L200,2017,126581,diésel,2024-11-15,17,0
PLM490,camioneta,Mitsubishi,Ranger,2009,75432,gasolina,2022-06-17,47,1
WNL328,carro,Toyota,CX-5,2015,102471,gasolina,2022-05-08,48,1
PHR112,carro,Toyota,Spark,2017,131492,gasolina,2022-06-16,47,1
VME226,carro,Mazda,Civic,2009,91252,gasolina,2023-03-15,38,0
RFH148,camioneta,Mitsubishi,L200,2021,34829,diésel,2021-12-26,52,1
VUF989,carro,Renault,Tucson,2022,36287,gasolina,2022-08-07,45,0
XXN725,moto,Bajaj,CB190,2017,46768,gasolina,2021-09-25,55,0
YSC216,bus,Mercedes,Sprinter,2011,182052,diésel,2021-12-03,53,0
EYJ585,carro,Honda,Corolla,2011,160163,gasolina,2023-01-06,40,1
DMT965,carro,Chevrolet,Sportage,2016,63208,gasolina,2023-01-03,40,0
INF702,camioneta,Nissan,Ranger,2020,100900,gasolina,2021-11-06,54,1
XME196,carro,Kia,Logan,2014,99455,gasolina,2022-01-02,52,0
BXR465,moto,AKT,GS150,2010,500,gasolina,2021-01-30,63,0
PPX615,moto,Honda,CB190,2019,57740,gasolina,2024-02-28,26,0
VTP731,moto,Yamaha,FZ25,2014,35019,gasolina,2021-05-12,60,0
FRY401,carro,Kia,Spark,2006,30607,gasolina,2023-09-18,31,0
SOK236,bus,Hino,K410,2008,175282,diésel,2022-11-10,42,1
OYV867,carro,Toyota,Corolla,2018,120923,diésel,2024-07-21,21,0
BGP856,carro,Ford,Civic,2015,90041,eléctrico,2021-08-30,56,0
HJZ924,carro,Mazda,Civic,2013,500,diésel,2022-07-13,46,1
ZYR004,carro,Chevrolet,Logan,2005,95887,gasolina,2022-09-02,44,0
JKF996,camioneta,Nissan,L200,2012,97633,gasolina,2023-05-22,35,0
ZXO267,moto,AKT,FZ25,2018,44286,gasolina,2023-07-31,33,1
GMP276,camioneta,Mitsubishi,L200,2023,58914,gasolina,2024-11-19,17,0
DEG257,moto,Bajaj,GS150,2020,59993,gasolina,2024-07-12,21,1
VQT156,carro,Chevrolet,Mustang,2012,114494,gasolina,2023-11-15,29,0
WGR947,carro,Honda,Mustang,2020,85056,gasolina,2023-10-27,30,0
UQV173,carro,Kia,Tucson,2016,80482,gasolina,2021-03-31,61,0
MPO175,carro,Chevrolet,Logan,2019,119729,gasolina,2025-03-10,13,0
OTZ449,carro,Ford,Mustang,2018,97151,gasolina,2024-07-24,21,0
RKG544,carro,Toyota,Civic,2017,71008,gasolina,2023-10-18,30,0
UKR086,carro,Chevrolet,Spark,2010,73767,gasolina,2022-12-13,41,1
AOK705,moto,Honda,FZ25,2015,49491,gasolina,2025-04-26,12,1
IQX134,bus,Hino,B7R,2013,310742,diésel,2025-04-03,13,0
VET460,carro,Chevrolet,Corolla,2017,63809,diésel,2022-03-30,49,1
ZMT050,carro,Hyundai,Tucson,2021,64992,gas natural,2023-04-25,36,0
TBN603,moto,Suzuki,GS150,2022,56195,gasolina,2024-04-06,25,0
RKB512,carro,Ford,Spark,2023,61787,gasolina,2023-02-26,38,0
DNI487,carro,Honda,Tucson,2005,47787,gasolina,2024-02-23,26,0
YSE033,carro,Toyota,CX-5,2014,43327,gasolina,2022-08-31,44,0
MPW940,carro,Honda,Civic,2022,130994,gasolina,2022-10-04,43,1
RXQ571,carro,Chevrolet,CX-5,2019,50266,diésel,2023-08-22,32,0
DGM671,camioneta,Nissan,L200,2023,100967,diésel,2024-02-06,27,0
TIZ318,moto,Suzuki,CB190,2023,10329,gasolina,2023-03-03,38,1
RBM259,carro,Toyota,Sportage,2013,77400,gas natural,2025-01-28,15,0
CQT532,camioneta,Mitsubishi,Ranger,2008,94051,gasolina,2025-02-21,14,0
IDA181,moto,Suzuki,TTX,2014,36647,gasolina,2021-08-04,57,0
YBB520,carro,Hyundai,Logan,2012,65299,gasolina,2023-06-17,34,0
ZXL143,moto,Honda,FZ25,2013,40764,gasolina,2024-03-28,25,0
RTL255,moto,Honda,FZ25,2014,36422,gasolina,2025-05-21,11,0
FIK470,carro,Renault,Logan,2017,72911,eléctrico,2022-12-25,40,0
FRZ049,carro,Kia,Logan,2022,55749,eléctrico,2024-02-07,27,0
HWP322,carro,Hyundai,Logan,2008,56474,eléctrico,2024-10-05,19,0
GWT213,moto,Suzuki,CB190,2019,57086,gasolina,2022-05-13,48,0
ONH404,carro,Ford,Logan,2015,75652,diésel,2022-04-11,49,1
RNB140,carro,Honda,Sportage,2018,121750,gas natural,2022-07-18,46,1
LPL520,moto,AKT,TTX,2017,31555,gasolina,2021-08-31,56,0
JNU282,moto,AKT,Pulsar,2014,28758,gasolina,2024-11-09,17,0
LQF421,moto,Suzuki,FZ25,2019,61276,gasolina,2021-06-24,59,1
BMG367,carro,Renault,Tucson,2018,75048,diésel,2022-02-01,51,0
CSP660,moto,Bajaj,TTX,2011,34216,gasolina,2022-03-05,50,0
GCX910,moto,Yamaha,Pulsar,2012,33072,gasolina,2025-04-10,12,0
FGV583,carro,Kia,Civic,2017,129005,gasolina,2024-01-05,28,0
MXK488,moto,Honda,TTX,2015,41137,gasolina,2021-04-05,61,0
USS020,moto,Suzuki,Pulsar,2020,53045,gasolina,2022-08-26,44,0
BKR192,carro,Honda,Sportage,2024,118481,gas natural,2024-09-17,19,0
WMR081,moto,Bajaj,FZ25,2017,48754,gasolina,2025-06-13,10,0
YEW928,carro,Mazda,Tucson,2011,43248,gasolina,2025-02-04,15,0
YQD902,moto,Bajaj,CB190,2013,47708,gasolina,2024-02-10,27,0
GKC598,carro,Honda,CX-5,2007,125723,gasolina,2022-10-09,43,0
VGM214,carro,Chevrolet,Sportage,2016,110794,gas natural,2024-08-27,20,0
DWD617,camioneta,Nissan,Hilux,2011,119509,diésel,2022-09-04,44,0
LQJ508,carro,Chevrolet,CX-5,2017,62369,gasolina,2021-02-01,63,1
HVJ163,moto,Suzuki,TTX,2017,58511,gasolina,2024-06-23,22,0
ZOV652,carro,Mazda,Sportage,2009,15850,gasolina,2025-06-02,11,0
QSM528,moto,AKT,CB190,2010,61860,gasolina,2022-02-11,51,1
JCG763,carro,Honda,Civic,2019,124917,gasolina,2024-09-17,19,0
CCU687,camioneta,Ford,Hilux,2015,75614,gasolina,2024-07-13,21,1
JQP188,carro,Honda,Logan,2020,83812,gasolina,2024-01-20,27,0
VHD403,carro,Mazda,CX-5,2023,17933,gasolina,2022-10-10,43,0
YDC843,carro,Kia,Civic,2005,78312,diésel,2023-08-22,32,0
LHB428,carro,Renault,Mustang,2014,59300,diésel,2022-04-04,49,0
KNH819,moto,Honda,FZ25,2015,13793,gasolina,2022-10-09,43,0
OHS944,carro,Ford,CX-5,2023,89413,gasolina,2024-06-25,22,0
ZRL823,carro,Kia,Spark,2005,137720,eléctrico,2023-12-08,29,1
QNI538,carro,Kia,Civic,2014,113583,eléctrico,2021-10-15,55,0
BXH480,carro,Kia,Civic,2022,65970,eléctrico,2022-08-26,44,0
WIA112,moto,AKT,TTX,2020,69409,gasolina,2022-05-15,48,0
VQH317,moto,AKT,TTX,2020,58722,gasolina,2021-07-22,58,0
ZYR782,carro,Ford,Tucson,2024,151819,gasolina,2021-01-26,64,0
AZM023,moto,Honda,Pulsar,2016,34691,gasolina,2024-03-24,25,0
WBX263,moto,Yamaha,FZ25,2020,59454,gasolina,2022-06-29,46,1
IQW088,camioneta,Toyota,Ranger,2016,186970,diésel,2023-11-07,30,0
ORY409,moto,AKT,FZ25,2014,2294,gasolina,2022-08-20,44,0
CCY979,carro,Hyundai,Logan,2018,106863,gasolina,2024-10-15,18,0
UMM429,moto,Suzuki,GS150,2021,18565,gasolina,2023-09-06,32,0
JDL267,moto,Yamaha,Pulsar,2013,27700,gasolina,2023-07-11,34,0
YSD875,carro,Kia,Mustang,2005,82996,gasolina,2021-03-30,61,1
AHR286,bus,Scania,Sprinter,2020,220874,diésel,2022-09-19,43,1
GIM592,carro,Mazda,Corolla,2009,140887,gasolina,2022-10-08,43,1
SPO596,carro,Chevrolet,Civic,2020,87309,gasolina,2023-02-09,39,1
BFY466,carro,Toyota,Logan,2005,80494,diésel,2023-10-05,31,1
GZM475,carro,Honda,Corolla,2024,57814,gasolina,2022-05-11,48,1
YMW815,moto,Bajaj,GS150,2018,18972,gasolina,2023-08-08,33,0
ZGP406,moto,AKT,Pulsar,2012,17093,gasolina,2025-05-24,11,0
WDU218,moto,AKT,FZ25,2013,57321,gasolina,2022-05-12,48,0
YQA933,moto,AKT,GS150,2012,22906,gasolina,2024-10-09,18,0
AIE435,camioneta,Toyota,L200,2008,175441,diésel,2024-05-12,23,1
WAP322,moto,AKT,Pulsar,2014,53004,gasolina,2022-05-14,48,0
OGJ719,carro,Kia,CX-5,2014,125405,gasolina,2022-11-29,41,0
WNQ894,carro,Chevrolet,Sportage,2014,74394,gasolina,2024-08-02,21,0
TNS034,camioneta,Mitsubishi,Frontier,2017,170819,gasolina,2021-04-28,60,1
LRX008,moto,Yamaha,FZ25,2018,33358,gasolina,2023-10-23,30,0
VXJ845,camioneta,Mitsubishi,Ranger,2021,110495,diésel,2022-05-13,48,0
VSX443,moto,Yamaha,FZ25,2019,11159,gasolina,2025-03-06,14,0
BZX661,moto,Suzuki,GS150,2018,12671,gasolina,2024-10-16,18,0
KSC278,carro,Renault,Mustang,2007,58093,gasolina,2025-03-26,13,0
BFF536,carro,Hyundai,Sportage,2019,95330,diésel,2021-03-18,62,1
KRW501,moto,Suzuki,CB190,2017,47629,gasolina,2024-01-24,27,0
MTH462,carro,Honda,Tucson,2016,107009,gasolina,2024-11-02,18,0
FWR507,camioneta,Toyota,Frontier,2008,120894,gasolina,2023-11-22,29,0
MQJ836,carro,Mazda,Logan,2008,23321,gasolina,2024-06-09,23,0
ZDD733,moto,Bajaj,Pulsar,2011,29398,gasolina,2024-08-24,20,1
SZF616,carro,Mazda,Civic,2021,64598,diésel,2022-11-14,42,0
SFI014,camioneta,Ford,Ranger,2018,128882,diésel,2025-04-12,12,0
PSA042,carro,Toyota,Mustang,2014,108642,gasolina,2025-04-18,12,0
FKT379,carro,Hyundai,Sportage,2005,54487,diésel,2022-06-15,47,1
BSS015,carro,Toyota,Tucson,2023,28100,gasolina,2023-05-03,36,0
QAV331,bus,Scania,FD,2017,227663,diésel,2021-05-27,59,1
XVK248,carro,Mazda,Civic,2017,128182,gasolina,2025-01-23,15,1
ACE880,carro,Ford,CX-5,2020,128649,gasolina,2024-09-23,19,0
OUI368,carro,Chevrolet,Spark,2014,68272,gasolina,2021-05-15,60,0
XHX135,camioneta,Mitsubishi,Frontier,2013,102448,diésel,2021-03-24,62,0
DBB114,moto,Suzuki,CB190,2014,27836,gasolina,2024-03-15,25,0
ESX192,carro,Toyota,Tucson,2007,123746,gas natural,2024-06-05,23,1
HNT424,camioneta,Ford,Ranger,2009,103907,diésel,2021-06-04,59,0
TAS311,camioneta,Mitsubishi,Hilux,2010,138265,diésel,2023-12-14,28,0
FCF626,carro,Renault,Sportage,2005,81298,gasolina,2024-07-19,21,1
HAH411,camioneta,Toyota,Hilux,2015,146981,gasolina,2022-09-11,44,1
VLF743,carro,Toyota,Sportage,2013,138532,eléctrico,2024-07-10,21,1
BWB654,camioneta,Mitsubishi,Ranger,2020,103704,gasolina,2024-06-17,22,0
AON290,camioneta,Ford,Ranger,2013,120467,diésel,2024-07-20,21,1
OEF088,camioneta,Toyota,Frontier,2013,109034,diésel,2025-06-07,10,0
FFJ748,moto,Honda,Pulsar,2010,36779,gasolina,2024-08-03,21,0
UIV710,moto,AKT,Pulsar,2017,26221,gasolina,2023-04-29,36,0
SIH870,carro,Ford,Sportage,2007,36402,gasolina,2024-03-17,25,1
OJM956,camioneta,Ford,L200,2015,10152,gasolina,2025-01-04,16,0
DWR837,moto,Bajaj,FZ25,2019,40080,gasolina,2021-01-29,63,0
CXW028,camioneta,Toyota,L200,2023,104210,diésel,2022-07-23,45,1
XCE208,camioneta,Ford,L200,2017,141706,diésel,2023-06-29,34,0
XPD055,bus,Hino,B7R,2001,181884,diésel,2023-03-10,38,0
QLD315,carro,Hyundai,Sportage,2022,18333,diésel,2023-08-22,32,0
DKL372,carro,Renault,Spark,2011,103417,gasolina,2023-06-21,34,0
TXG932,moto,Yamaha,TTX,2010,87080,gasolina,2022-04-26,48,1
CFZ043,moto,Suzuki,GS150,2024,31631,gasolina,2021-10-04,55,0
WJE142,carro,Hyundai,Corolla,2023,107870,gasolina,2022-02-26,50,0
IGB971,camioneta,Nissan,Frontier,2021,154327,diésel,2024-03-16,25,1
CDW612,camioneta,Nissan,Ranger,2023,66785,diésel,2024-02-20,26,0
TVK154,camioneta,Mitsubishi,L200,2009,71837,diésel,2022-03-15,50,1
BKK387,carro,Kia,Mustang,2023,98581,gasolina,2024-05-22,23,0
JAV631,moto,Suzuki,CB190,2011,25924,gasolina,2021-06-05,59,0
VGP555,carro,Honda,Spark,2012,30866,gasolina,2024-05-14,23,0
NWO256,carro,Mazda,Sportage,2006,89938,gasolina,2022-01-15,52,1
BFL232,carro,Honda,CX-5,2015,159140,gasolina,2022-04-16,49,1
HEZ161,carro,Chevrolet,Civic,2018,24462,gasolina,2024-04-25,24,0
DRP386,camioneta,Ford,Frontier,2023,74417,diésel,2021-09-13,56,0
GRR541,moto,Honda,TTX,2020,49055,gasolina,2024-04-06,25,0
QIU716,moto,Honda,FZ25,2021,27107,gasolina,2023-09-30,31,0
WAY847,carro,Renault,Civic,2006,63689,gasolina,2023-04-11,37,1
OXM083,camioneta,Mitsubishi,L200,2016,98881,diésel,2022-12-29,40,0
HKN925,moto,Yamaha,TTX,2010,30962,gasolina,2025-02-10,14,0
TPF735,moto,AKT,GS150,2013,34322,gasolina,2024-05-10,24,0
PWZ575,carro,Hyundai,Spark,2022,57665,eléctrico,2025-01-15,15,0
RIV011,moto,Bajaj,GS150,2011,55459,gasolina,2023-06-17,34,0
BJE245,carro,Kia,Civic,2019,64478,gasolina,2022-03-19,50,0
IQE114,carro,Mazda,Mustang,2020,55171,diésel,2025-06-15,10,0
JTZ087,carro,Honda,Logan,2008,86293,gasolina,2024-03-14,25,0
AYP921,carro,Honda,Corolla,2024,103890,gasolina,2023-03-25,37,0
GBY582,moto,Honda,GS150,2010,46370,gasolina,2021-01-21,64,0
NLS899,moto,Yamaha,Pulsar,2019,49548,gasolina,2021-01-17,64,0
NWS002,carro,Renault,Spark,2009,123487,gasolina,2023-01-09,40,1
IQX665,bus,Scania,K410,2008,76102,diésel,2021-06-16,59,1
THP408,carro,Toyota,CX-5,2014,36529,diésel,2022-09-19,43,0
FPL952,moto,AKT,CB190,2016,20323,gasolina,2022-06-25,46,1
YRR518,carro,Hyundai,Mustang,2016,34517,gasolina,2024-12-17,16,0
IVO355,carro,Chevrolet,Spark,2007,83364,gasolina,2024-09-03,20,1
CXX685,carro,Renault,Civic,2014,81020,diésel,2022-06-03,47,1
POC242,moto,Suzuki,FZ25,2019,63011,gasolina,2024-11-23,17,0
CCA823,carro,Toyota,Spark,2024,73778,gasolina,2021-11-07,54,0
UOT066,moto,Suzuki,Pulsar,2021,15685,gasolina,2021-07-30,57,0
